Year,Quarter,Type,Entity_Name,Registered_Users
2020,3,Pincode,110092,314384
2020,3,Pincode,122001,314031
2020,3,Pincode,110086,267186
2020,3,Pincode,560078,265627
2020,3,Pincode,121004,261230
2020,4,State,Maharashtra,34432631
2020,4,State,Uttar Pradesh,27249134
2020,4,State,Karnataka,22400182
2020,4,State,Andhra Pradesh,17076565
2020,4,State,Rajasthan,16329494
2020,4,State,Telangana,15927797
2020,4,State,West Bengal,15662093
2020,4,State,Tamil Nadu,15357586
2020,4,State,Madhya Pradesh,13737947
2020,4,State,Gujarat,13605203
2020,4,District,Bengaluru Urban,9286243
2020,4,District,Pune,6033615
2020,4,District,Thane,3727358
2020,4,District,Jaipur,3679874
2020,4,District,Mumbai Suburban,3609970
2020,4,District,Hyderabad,3142385
2020,4,District,Ahmadabad,2787991
2020,4,District,Rangareddy,2704868
2020,4,District,North Twenty Four Parganas,2321888
2020,4,District,Medchal Malkajgiri,2282695
2020,4,Pincode,201301,504506
2020,4,Pincode,110059,423149
2020,4,Pincode,560068,399638
2020,4,Pincode,421302,365506
2020,4,Pincode,500072,350832
2020,4,Pincode,122001,336803
2020,4,Pincode,110092,335783
2020,4,Pincode,110086,288308
2020,4,Pincode,560078,285544
2020,4,Pincode,121004,283882
2021,1,State,Maharashtra,37077537
2021,1,State,Uttar Pradesh,29482075
2021,1,State,Karnataka,24095832
2021,1,State,Andhra Pradesh,18363733
2021,1,State,Rajasthan,17661088
2021,1,State,Telangana,17149069
2021,1,State,West Bengal,16808799
2021,1,State,Tamil Nadu,16632608
2021,1,State,Madhya Pradesh,14839427
2021,1,State,Gujarat,14670126
2021,1,District,Bengaluru Urban,9955387
2021,1,District,Pune,6481971
2021,1,District,Thane,4014464
2021,1,District,Jaipur,3951866
2021,1,District,Mumbai Suburban,3886500
2021,1,District,Hyderabad,3379663
2021,1,District,Ahmadabad,2999575
2021,1,District,Rangareddy,2906635
2021,1,District,North Twenty Four Parganas,2491076
2021,1,District,Surat,2458596
2021,1,Pincode,201301,541127
2021,1,Pincode,110059,454201
2021,1,Pincode,560068,427525
2021,1,Pincode,421302,396179
2021,1,Pincode,500072,375272
2021,1,Pincode,122001,361360
2021,1,Pincode,110092,359376
2021,1,Pincode,110086,310419
2021,1,Pincode,121004,306230
2021,1,Pincode,560078,305721
2021,2,State,Maharashtra,39664697
2021,2,State,Uttar Pradesh,31651894
2021,2,State,Karnataka,25751023
2021,2,State,Andhra Pradesh,19620905
2021,2,State,Rajasthan,18980985
2021,2,State,Telangana,18306880
2021,2,State,West Bengal,17979979
2021,2,State,Tamil Nadu,17804542
2021,2,State,Madhya Pradesh,15940935
2021,2,State,Gujarat,15735981
2021,2,District,Bengaluru Urban,10604609
2021,2,District,Pune,6915820
2021,2,District,Thane,4290066
2021,2,District,Jaipur,4226231
2021,2,District,Mumbai Suburban,4151227
2021,2,District,Hyderabad,3598337
2021,2,District,Ahmadabad,3209841
2021,2,District,Rangareddy,3097973
2021,2,District,North Twenty Four Parganas,2660664
2021,2,District,Surat,2633443
2021,2,Pincode,201301,577428
2021,2,Pincode,110059,485328
2021,2,Pincode,560068,455417
2021,2,Pincode,421302,424376
2021,2,Pincode,500072,398987
2021,2,Pincode,122001,385555
2021,2,Pincode,110092,383095
2021,2,Pincode,110086,332618
2021,2,Pincode,121004,328000
2021,2,Pincode,560078,325334
2021,3,State,Maharashtra,42581217
2021,3,State,Uttar Pradesh,34151882
2021,3,State,Karnataka,27614221
2021,3,State,Andhra Pradesh,21059898
2021,3,State,Rajasthan,20499465
2021,3,State,Telangana,19615278
2021,3,State,West Bengal,19323278
2021,3,State,Tamil Nadu,19127440
2021,3,State,Madhya Pradesh,17210233
2021,3,State,Gujarat,16946761
2021,3,District,Bengaluru Urban,11321012
2021,3,District,Pune,7398336
2021,3,District,Thane,4597394
2021,3,District,Jaipur,4534297
2021,3,District,Mumbai Suburban,4444495
2021,3,District,Hyderabad,3839513
2021,3,District,Ahmadabad,3445024
2021,3,District,Rangareddy,3310906
2021,3,District,North Twenty Four Parganas,2852030
2021,3,District,Surat,2830392
2021,3,Pincode,201301,618043
2021,3,Pincode,110059,520096
2021,3,Pincode,560068,486170
2021,3,Pincode,421302,456284
2021,3,Pincode,500072,425197
2021,3,Pincode,122001,412737
2021,3,Pincode,110092,409520
2021,3,Pincode,110086,357590
2021,3,Pincode,121004,352312
2021,3,Pincode,560078,346840
2021,4,State,Maharashtra,45482506
2021,4,State,Uttar Pradesh,36617655
2021,4,State,Karnataka,29459646
2021,4,State,Andhra Pradesh,22489029
2021,4,State,Rajasthan,21977202
2021,4,State,Telangana,20917649
2021,4,State,West Bengal,20644527
2021,4,State,Tamil Nadu,20433142
2021,4,State,Madhya Pradesh,18456243
2021,4,State,Gujarat,18139201
2021,4,District,Bengaluru Urban,12038775
2021,4,District,Pune,7880431
2021,4,District,Thane,4906492
2021,4,District,Jaipur,4841883
2021,4,District,Mumbai Suburban,4740546
2021,4,District,Hyderabad,4081185
2021,4,District,Ahmadabad,3679243
2021,4,District,Rangareddy,3523496
2021,4,District,North Twenty Four Parganas,3043008
2021,4,District,Surat,3026960
2021,4,Pincode,201301,659549
2021,4,Pincode,110059,555449
2021,4,Pincode,560068,517115
2021,4,Pincode,421302,488443
2021,4,Pincode,500072,451595
2021,4,Pincode,122001,440178
2021,4,Pincode,110092,436075
2021,4,Pincode,110086,382858
2021,4,Pincode,121004,376910
2021,4,Pincode,560078,368213
2022,1,State,Maharashtra,48227630
2022,1,State,Uttar Pradesh,38999692
2022,1,State,Karnataka,31200349
2022,1,State,Andhra Pradesh,23857951
2022,1,State,Rajasthan,23398857
2022,1,State,Telangana,22150612
2022,1,State,West Bengal,21919787
2022,1,State,Tamil Nadu,21667020
2022,1,State,Madhya Pradesh,19656147
2022,1,State,Gujarat,19265314
2022,1,District,Bengaluru Urban,12707664
2022,1,District,Pune,8331582
2022,1,District,Thane,5196050
2022,1,District,Jaipur,5133527
2022,1,District,Mumbai Suburban,5017556
2022,1,District,Hyderabad,4306136
2022,1,District,Ahmadabad,3897869
2022,1,District,Rangareddy,3722676
2022,1,District,North Twenty Four Parganas,3224459
2022,1,District,Surat,3210535
2022,1,Pincode,201301,698600
2022,1,Pincode,110059,588266
2022,1,Pincode,560068,545827
2022,1,Pincode,421302,518716
2022,1,Pincode,500072,476073
2022,1,Pincode,122001,465984
2022,1,Pincode,110092,460951
2022,1,Pincode,110086,406863
2022,1,Pincode,121004,400283
2022,1,Pincode,560078,388154
2022,2,State,Maharashtra,50802786
2022,2,State,Uttar Pradesh,41247289
2022,2,State,Karnataka,32831447
2022,2,State,Andhra Pradesh,25157264
2022,2,State,Rajasthan,24716181
2022,2,State,Telangana,23314363
2022,2,State,West Bengal,23124388
2022,2,State,Tamil Nadu,22829720
2022,2,State,Madhya Pradesh,20766417
2022,2,State,Gujarat,20321596
2022,2,District,Bengaluru Urban,13342916
2022,2,District,Pune,8757249
2022,2,District,Thane,5471749
2022,2,District,Jaipur,5409763
2022,2,District,Mumbai Suburban,5281053
2022,2,District,Hyderabad,4519625
2022,2,District,Ahmadabad,4105172
2022,2,District,Rangareddy,3911372
2022,2,District,North Twenty Four Parganas,3397791
2022,2,District,Surat,3385398
2022,2,Pincode,201301,735907
2022,2,Pincode,110059,619737
2022,2,Pincode,560068,573310
2022,2,Pincode,421302,547501
2022,2,Pincode,500072,499269
2022,2,Pincode,122001,490709
2022,2,Pincode,110092,484816
2022,2,Pincode,110086,429566
2022,2,Pincode,121004,422488
2022,2,Pincode,560078,407066
2022,3,State,Maharashtra,53432602
2022,3,State,Uttar Pradesh,43537920
2022,3,State,Karnataka,34493994
2022,3,State,Andhra Pradesh,26496330
2022,3,State,Rajasthan,26042948
2022,3,State,Telangana,24506111
2022,3,State,West Bengal,24372048
2022,3,State,Tamil Nadu,24019964
2022,3,State,Madhya Pradesh,21884220
2022,3,State,Gujarat,21394721
2022,3,District,Bengaluru Urban,13997602
2022,3,District,Pune,9194074
2022,3,District,Thane,5757165
2022,3,District,Jaipur,5696726
2022,3,District,Mumbai Suburban,5555095
2022,3,District,Hyderabad,4739891
2022,3,District,Ahmadabad,4319512
2022,3,District,Rangareddy,4105107
2022,3,District,North Twenty Four Parganas,3578500
2022,3,District,Surat,3567767
2022,3,Pincode,201301,774591
2022,3,Pincode,110059,652328
2022,3,Pincode,560068,601656
2022,3,Pincode,421302,577754
2022,3,Pincode,500072,523196
2022,3,Pincode,122001,516313
2022,3,Pincode,110092,509260
2022,3,Pincode,110086,453393
2022,3,Pincode,121004,445822
2022,3,Pincode,201009,428994
2022,4,State,Maharashtra,55954028
2022,4,State,Uttar Pradesh,45648650
2022,4,State,Karnataka,36081698
2022,4,State,Andhra Pradesh,27778016
2022,4,State,Rajasthan,27255927
2022,4,State,Telangana,25656381
2022,4,State,West Bengal,25536381
2022,4,State,Tamil Nadu,25136112
2022,4,State,Madhya Pradesh,22913924
2022,4,State,Gujarat,22412353
2022,4,District,Bengaluru Urban,14654455
2022,4,District,Pune,9622338
2022,4,District,Thane,6042267
2022,4,District,Jaipur,5975863
2022,4,District,Mumbai Suburban,5831539
2022,4,District,Hyderabad,4962214
2022,4,District,Ahmadabad,4530853
2022,4,District,Rangareddy,4296707
2022,4,District,North Twenty Four Parganas,3755017
2022,4,District,Surat,3747780
2022,4,Pincode,201301,814008
2022,4,Pincode,110059,685596
2022,4,Pincode,560068,630255
2022,4,Pincode,421302,608005
2022,4,Pincode,500072,547282
2022,4,Pincode,122001,542209
2022,4,Pincode,110092,534009
2022,4,Pincode,110086,477514
2022,4,Pincode,121004,468607
2022,4,Pincode,201009,451153
2023,1,State,Maharashtra,58470784
2023,1,State,Uttar Pradesh,47806049
2023,1,State,Karnataka,37681426
2023,1,State,Andhra Pradesh,29065863
2023,1,State,Rajasthan,28523031
2023,1,State,Telangana,26804259
2023,1,State,West Bengal,26732895
2023,1,State,Tamil Nadu,26270663
2023,1,State,Madhya Pradesh,24002818
2023,1,State,Gujarat,23436230
2023,1,District,Bengaluru Urban,15290372
2023,1,District,Pune,10037022
2023,1,District,Thane,6314618
2023,1,District,Jaipur,6247095
2023,1,District,Mumbai Suburban,6095695
2023,1,District,Hyderabad,5176899
2023,1,District,Ahmadabad,4734630
2023,1,District,Rangareddy,4483193
2023,1,District,North Twenty Four Parganas,3926974
2023,1,District,Surat,3919829
2023,1,Pincode,201301,851451
2023,1,Pincode,110059,716856
2023,1,Pincode,560068,658173
2023,1,Pincode,421302,636458
2023,1,Pincode,500072,570652
2023,1,Pincode,122001,566889
2023,1,Pincode,110092,557488
2023,1,Pincode,110086,500213
2023,1,Pincode,121004,490243
2023,1,Pincode,201009,472156
2023,2,State,Maharashtra,60766850
2023,2,State,Uttar Pradesh,49829833
2023,2,State,Karnataka,39122314
2023,2,State,Andhra Pradesh,30240061
2023,2,State,Rajasthan,29745609
2023,2,State,West Bengal,27827662
2023,2,State,Telangana,27814633
2023,2,State,Tamil Nadu,27317599
2023,2,State,Madhya Pradesh,25042930
2023,2,State,Gujarat,24396768
2023,2,District,Bengaluru Urban,15812243
2023,2,District,Pune,10396344
2023,2,District,Thane,6552282
2023,2,District,Jaipur,6490210
2023,2,District,Mumbai Suburban,6322778
2023,2,District,Hyderabad,5349842
2023,2,District,Ahmadabad,4913610
2023,2,District,Rangareddy,4638501
2023,2,District,North Twenty Four Parganas,4079270
2023,2,District,Surat,4076929
2023,2,Pincode,201301,883262
2023,2,Pincode,110059,744061
2023,2,Pincode,560068,680831
2023,2,Pincode,421302,662196
2023,2,Pincode,500072,589156
2023,2,Pincode,122001,587988
2023,2,Pincode,110092,577301
2023,2,Pincode,110086,520976
2023,2,Pincode,121004,509776
2023,2,Pincode,201009,490549
2023,3,State,Maharashtra,63150997
2023,3,State,Uttar Pradesh,51870932
2023,3,State,Karnataka,40634390
2023,3,State,Andhra Pradesh,31493897
2023,3,State,Rajasthan,30997182
2023,3,State,West Bengal,28966414
2023,3,State,Telangana,28896668
2023,3,State,Tamil Nadu,28405436
2023,3,State,Madhya Pradesh,26109033
2023,3,State,Gujarat,25383429
2023,3,District,Bengaluru Urban,16382332
2023,3,District,Pune,10780092
2023,3,District,Thane,6802106
2023,3,District,Jaipur,6745507
2023,3,District,Mumbai Suburban,6560867
2023,3,District,Hyderabad,5543537
2023,3,District,Ahmadabad,5105557
2023,3,District,Rangareddy,4809474
2023,3,District,North Twenty Four Parganas,4241525
2023,3,District,Surat,4238878
2023,3,Pincode,201301,916333
2023,3,Pincode,110059,772107
2023,3,Pincode,560068,703693
2023,3,Pincode,421302,688520
2023,3,Pincode,122001,609934
2023,3,Pincode,500072,609887
2023,3,Pincode,110092,598195
2023,3,Pincode,110086,540985
2023,3,Pincode,121004,529674
2023,3,Pincode,201009,509567
2023,4,State,Maharashtra,65422120
2023,4,State,Uttar Pradesh,53799813
2023,4,State,Karnataka,42031396
2023,4,State,Andhra Pradesh,32658698
2023,4,State,Rajasthan,32157348
2023,4,State,West Bengal,30064546
2023,4,State,Telangana,29902636
2023,4,State,Tamil Nadu,29452801
2023,4,State,Madhya Pradesh,27078072
2023,4,State,Gujarat,26312655
2023,4,District,Bengaluru Urban,16895567
2023,4,District,Pune,11135186
2023,4,District,Thane,7044610
2023,4,District,Jaipur,6983265
2023,4,District,Mumbai Suburban,6796218
2023,4,District,Hyderabad,5720710
2023,4,District,Ahmadabad,5282400
2023,4,District,Rangareddy,4964411
2023,4,District,North Twenty Four Parganas,4396190
2023,4,District,Surat,4396038
2023,4,Pincode,201301,948041
2023,4,Pincode,110059,798856
2023,4,Pincode,560068,727330
2023,4,Pincode,421302,714635
2023,4,Pincode,122001,630836
2023,4,Pincode,500072,628306
2023,4,Pincode,110092,617934
2023,4,Pincode,110086,561319
2023,4,Pincode,121004,549020
2023,4,Pincode,201009,527630
2024,1,State,Maharashtra,68016876
2024,1,State,Uttar Pradesh,56028765
2024,1,State,Karnataka,43668141
2024,1,State,Andhra Pradesh,34008709
2024,1,State,Rajasthan,33505514
2024,1,State,West Bengal,31306843
2024,1,State,Telangana,31082447
2024,1,State,Tamil Nadu,30638750
2024,1,State,Madhya Pradesh,28238554
2024,1,State,Gujarat,27381972
2024,1,District,Bengaluru Urban,17506580
2024,1,District,Pune,11546171
2024,1,District,Thane,7314981
2024,1,District,Jaipur,7253881
2024,1,District,Mumbai Suburban,7055629
2024,1,District,Hyderabad,5928930
2024,1,District,Ahmadabad,5485010
2024,1,District,Rangareddy,5149421
2024,1,District,North Twenty Four Parganas,4570438
2024,1,District,Surat,4569769
2024,1,Pincode,201301,984239
2024,1,Pincode,110059,829414
2024,1,Pincode,560068,753700
2024,1,Pincode,421302,743686
2024,1,Pincode,122001,654633
2024,1,Pincode,500072,650991
2024,1,Pincode,110092,640499
2024,1,Pincode,110086,583639
2024,1,Pincode,121004,570844
2024,1,Pincode,201009,548384
2024,2,State,Maharashtra,70597223
2024,2,State,Uttar Pradesh,58199149
2024,2,State,Karnataka,45290606
2024,2,State,Andhra Pradesh,35303719
2024,2,State,Rajasthan,34773619
2024,2,State,West Bengal,32540397
2024,2,State,Telangana,32232171
2024,2,State,Tamil Nadu,31818880
2024,2,State,Madhya Pradesh,29324466
2024,2,State,Gujarat,28439885
2024,2,District,Bengaluru Urban,18127475
2024,2,District,Pune,11964579
2024,2,District,Thane,7591749
2024,2,District,Jaipur,7522194
2024,2,District,Mumbai Suburban,7325715
2024,2,District,Hyderabad,6138190
2024,2,District,Ahmadabad,5693015
2024,2,District,Rangareddy,5331711
2024,2,District,Surat,4747919
2024,2,District,North Twenty Four Parganas,4746814
2024,2,Pincode,201301,1021560
2024,2,Pincode,110059,860657
2024,2,Pincode,560068,780422
2024,2,Pincode,421302,772632
2024,2,Pincode,122001,679107
2024,2,Pincode,500072,673094
2024,2,Pincode,110092,664004
2024,2,Pincode,110086,606637
2024,2,Pincode,121004,593014
2024,2,Pincode,201009,569781
2024,3,State,Maharashtra,69641161
2024,3,State,Uttar Pradesh,67922000
2024,3,State,Karnataka,44548391
2024,3,State,Rajasthan,35583171
2024,3,State,West Bengal,33612828
2024,3,State,Tamil Nadu,32965209
2024,3,State,Bihar,31899315
2024,3,State,Madhya Pradesh,31764084
2024,3,State,Telangana,30776242
2024,3,State,Andhra Pradesh,29145303
